10165;TOTAL Bitburg;TOTAL;KOELNER STR.;18;54634;BITBURG;49.978783;6.525921
10166;ARNSTEIN-HEUGRUMBACH - JULIUS-ECHTE;Agip;Julius-Echter-Str.;26;97450;Arnstein-Heugrumbach;49.97848;9.95374
10167;Tankstelle-Wade;Frei;Uranstr. ;1;65428;Ruesselsheim;49.978432;8.4266
10168;JET BINDLACH LEUSCHNITZSTRASSE 1;JET;LEUSCHNITZSTRASSE 1;;95463;BINDLACH;49.977565;11.611158
10169;ASCHAFFENBURG - PLATANENALLEE;Agip;Platanenallee;11;63739;Aschaffenburg;49.97689;9.15258
10170;JET BISCHOFSHEIM AM SCHINDBERG 1;JET;AM SCHINDBERG 1;;65474;BISCHOFSHEIM;49.976158;8.377776
10171;Autohaus Rosenbaum GBR;freie Tankstelle;Moselweinstraße.;104;54536;Kröv;49.976148;7.087598
10172;Raiffeisen Hunsrück Handelsgesellschaft mbH;Raiffeisen;Argenthaler Straße;8;55469;Simmern;49.9749;7.55496
10173;NEO Arnstein;NEO;Schweinfurter Str.;19;97450;Arnstein;49.9745;9.97807
10174;ROEDERMARK-URBERRACH - KONRAD-ADENA;Agip;Konrad-Adenauer-Str.;71;63322;Roedermark-Urberrach;49.9743407;8.7894931
10175;Breitengüssbach Gewerbepark 2;OMV;Gewerbepark;2;96149;Breitengüssbach;49.97341;10.87534
10176;MOERFELDEN-WALLDORF, AM SCHL.;Shell;AM SCHLICHTER 2;"";64546;MÖRFELDEN-WALLDORF;49.973317;8.552388
10177;Aral Tankstelle;ARAL;Am Markt;2;54634;Bitburg;49.9730644;6.521433
10178;ELAN MOERFELDEN-WALLDORF;ELAN;RUESSELSHEIMER STR.;60;64546;MOERFELDEN-WALLDORF;49.973003;8.553158
10179;Autohaus Mülhaupt GmbH;;Brückenstraße;6;97483;Eltmann;49.972203;10.668316
10180;Esso Tankstelle;ESSO;NEUE MAINZER STR. 131; ;55129;MAINZ;49.971724;8.271596
10181;GAU-ALGESHEIM, RHEINSTR. 53.;Shell;RHEINSTR. 53;"";55435;Gau-Algesheim;49.9716;8.02292
10182;Aral Tankstelle;ARAL;Bamberger Straße;17;97483;Eltmann;49.9711227;10.6706038
10183;ROEDERMARK-OBERRODEN - DIEBURGER ST;Agip;Dieburger Strasse;117;63322;Roedermark-Oberroden;49.9708673;8.8313775
